feature,decile,mean_w
r2_1,0,0.03772565722465515
r2_1,1,0.05687948688864708
r2_1,2,0.05783085897564888
r2_1,3,0.060314908623695374
r2_1,4,0.06004920229315758
r2_1,5,0.06745918095111847
r2_1,6,0.07776770740747452
r2_1,7,0.08589448034763336
r2_1,8,0.09544170647859573
r2_1,9,0.06009170040488243
r12_2,0,-0.05368269979953766
r12_2,1,0.016657017171382904
r12_2,2,0.03432389721274376
r12_2,3,0.05094235762953758
r12_2,4,0.061584971845149994
r12_2,5,0.08338336646556854
r12_2,6,0.103202223777771
r12_2,7,0.11828622967004776
r12_2,8,0.1290503889322281
r12_2,9,0.11570925265550613
r12_7,0,0.008537114597856998
r12_7,1,0.05643691122531891
r12_7,2,0.06644522398710251
r12_7,3,0.07045494019985199
r12_7,4,0.07989365607500076
r12_7,5,0.08112611621618271
r12_7,6,0.08463052660226822
r12_7,7,0.08818364143371582
r12_7,8,0.0760456845164299
r12_7,9,0.04770352318882942
r36_13,0,0.0510881170630455
r36_13,1,0.06444606184959412
r36_13,2,0.05193746089935303
r36_13,3,0.0719781145453453
r36_13,4,0.07768183946609497
r36_13,5,0.07988277822732925
r36_13,6,0.07844560593366623
r36_13,7,0.07424711436033249
r36_13,8,0.06523901969194412
r36_13,9,0.04450890049338341
ST_Rev,0,0.06009170040488243
ST_Rev,1,0.09544170647859573
ST_Rev,2,0.08589448034763336
ST_Rev,3,0.07776770740747452
ST_Rev,4,0.06745918095111847
ST_Rev,5,0.06004920229315758
ST_Rev,6,0.060314908623695374
ST_Rev,7,0.05783085897564888
ST_Rev,8,0.05687948688864708
ST_Rev,9,0.03772565722465515
LT_Rev,0,0.04450890049338341
LT_Rev,1,0.06523901969194412
LT_Rev,2,0.07424711436033249
LT_Rev,3,0.07844560593366623
LT_Rev,4,0.07988277822732925
LT_Rev,5,0.07768183946609497
LT_Rev,6,0.0719781145453453
LT_Rev,7,0.05193746089935303
LT_Rev,8,0.06444606184959412
LT_Rev,9,0.0510881170630455
Investment,0,0.049596477299928665
Investment,1,0.09684672951698303
Investment,2,
Investment,3,
Investment,4,
Investment,5,
Investment,6,
Investment,7,
Investment,8,
Investment,9,0.06500072777271271
NOA,0,0.06249823793768883
NOA,1,0.07130098342895508
NOA,2,0.0874062329530716
NOA,3,0.06204210966825485
NOA,4,0.0770634114742279
NOA,5,0.07843334227800369
NOA,6,0.0733688697218895
NOA,7,0.07178302109241486
NOA,8,0.06227171793580055
NOA,9,0.013288235291838646
DPI2A,0,0.06403753161430359
DPI2A,1,0.0913531631231308
DPI2A,2,
DPI2A,3,
DPI2A,4,
DPI2A,5,
DPI2A,6,
DPI2A,7,
DPI2A,8,
DPI2A,9,0.06447333097457886
NI,0,-0.02025775797665119
NI,1,0.017835255712270737
NI,2,-0.006695229560136795
NI,3,0.06960886716842651
NI,4,0.042965978384017944
NI,5,0.12169858068227768
NI,6,0.12200629711151123
NI,7,0.06759364902973175
NI,8,0.14076317846775055
NI,9,0.09945034980773926
OP,0,-0.05574464052915573
OP,1,0.006607607007026672
OP,2,0.0351114496588707
OP,3,0.05597836151719093
OP,4,0.07373762130737305
OP,5,0.10255658626556396
OP,6,0.11854671686887741
OP,7,0.09549470990896225
OP,8,0.108343206346035
OP,9,0.11880268156528473
ROA,0,-0.05571715906262398
ROA,1,0.013229884207248688
ROA,2,0.0387951135635376
ROA,3,0.0479898639023304
ROA,4,0.08725722879171371
ROA,5,0.08272743970155716
ROA,6,0.12691473960876465
ROA,7,0.10141541063785553
ROA,8,0.08907251805067062
ROA,9,0.1277080774307251
ROE,0,0.0009369952604174614
ROE,1,0.02529394067823887
ROE,2,0.035335928201675415
ROE,3,0.08137853443622589
ROE,4,0.08621367812156677
ROE,5,0.058659039437770844
ROE,6,0.08002309501171112
ROE,7,0.10473763197660446
ROE,8,0.09475638717412949
ROE,9,0.09210477769374847
ATO,0,0.017048632726073265
ATO,1,0.045800674706697464
ATO,2,0.05836081877350807
ATO,3,0.0665498748421669
ATO,4,0.07114250212907791
ATO,5,0.08282682299613953
ATO,6,0.08831200003623962
ATO,7,0.08859435468912125
ATO,8,0.08344554156064987
ATO,9,0.057381004095077515
D2A,0,0.009381058625876904
D2A,1,0.03484123572707176
D2A,2,0.05428066849708557
D2A,3,0.08723439276218414
D2A,4,0.09732059389352798
D2A,5,0.10551133006811142
D2A,6,0.07187464088201523
D2A,7,0.08319472521543503
D2A,8,0.06756515800952911
D2A,9,0.04826277866959572
PM,0,-0.055613137781620026
PM,1,0.015556683763861656
PM,2,-0.01231881882995367
PM,3,0.04852071776986122
PM,4,0.0980018824338913
PM,5,0.1010797992348671
PM,6,0.11740197986364365
PM,7,0.12712815403938293
PM,8,0.13450130820274353
PM,9,0.08520538359880447
ME,0,-0.02461511455476284
ME,1,0.0040696123614907265
ME,2,0.03976517915725708
ME,3,0.07020531594753265
ME,4,0.08040378987789154
ME,5,0.09269137680530548
ME,6,0.09198003262281418
ME,7,0.10135967284440994
ME,8,0.10273565351963043
ME,9,0.10086064040660858
A2ME,0,0.074534572660923
A2ME,1,0.09005977213382721
A2ME,2,0.08220817148685455
A2ME,3,0.07699066400527954
A2ME,4,0.08301321417093277
A2ME,5,0.07668785005807877
A2ME,6,0.055869974195957184
A2ME,7,0.058700598776340485
A2ME,8,0.05298532918095589
A2ME,9,0.008405623026192188
BEME,0,0.026717038825154305
BEME,1,0.07808242738246918
BEME,2,0.0822707861661911
BEME,3,0.09444858878850937
BEME,4,0.09514967352151871
BEME,5,0.0738019347190857
BEME,6,0.08056800812482834
BEME,7,0.0712846890091896
BEME,8,0.04618775472044945
BEME,9,0.010947545990347862
C,0,0.013277418911457062
C,1,0.06227101385593414
C,2,0.07218246161937714
