feature,mean_beta,t_stat
r2_1,-0.026039785,-69.70882384082172
r12_2,-0.033976864,-39.743918239767176
r12_7,-0.0027114796,-4.7460358486521015
r36_13,0.00010066104,0.2864677412734181
ST_Rev,0.0262422,71.91490609961001
LT_Rev,-0.0002624181,-0.7999978622501035
Investment,-0.0010808986,-3.643640964888564
NOA,0.0041147107,3.967405956168645
DPI2A,-0.0005807315,-2.480040010538045
NI,0.008818357,19.276465030916018
OP,0.015539297,5.529624156957523
ROA,0.036465704,8.39114011524507
ROE,-0.031122735,-5.996120025617987
ATO,-0.025949024,-8.799136880539656
D2A,0.0022549639,1.4792403753082137
PM,-0.004806168,-0.4089889651689259
ME,-0.0011109607,-2.208692832881715
A2ME,-0.027476847,-50.98949088754057
BEME,-0.0089146625,-12.426236542190967
C,0.00043821573,0.4225153222611925
CF,-0.005866983,-7.134100758003485
CF2P,0.012553439,15.821419535120956
D2P,-0.017035544,-50.04916220143891
E2P,0.015634019,24.378468980558225
Q,-0.016914265,-0.28357523506149884
S2P,0.0074526495,9.457040602394661
Lev,0.013421513,0.22473191056647535
AC,-0.017728973,-18.648271014193785
OL,0.013338622,3.6952376191538234
PCM,-0.055617433,-2.343875654174763
logAT,0.02139793,22.975963025817705
LME,8.283092e-05,0.16098515027749338
LTN,0.045750648,41.36789356935425
Rel2High,0.10591599,51.46184892500199
Var20,-0.0060064876,-9.36639322103678
Alpha,0.05686505,34.96437986113934
Beta,0.0040610465,7.331038064848801
IdioVol,-0.021410126,-12.067379893258773
ResidVar,0.010944005,7.569041928713514
