variable,coef,t_stat
intercept,0.04371102289230317,0.675134401419538
China: PPI: Means of Production: Mining & Quarrying Industry: YoY,-164278.69189086667,-309411.0953689576
China: CPI: Health Care: YoY,16287.895590985705,25483.982713224475
China: CPI: Non-food: YoY,-5.404648263711351,-3.2694967553665073
China: CPI: Clothing: YoY,1.1246782115249516,1.6659392508350872
China: CPI: Consumer Goods: YoY,0.5278964161261683,0.1348852269089908
China: CPI: Food: YoY,0.6889372122514033,0.4530234002075138
China: CPI: Residence: YoY,2.3207921436005563,2.321024385318404
"China: CPI: Education, Culture and Recreation: YoY",0.2819748401288962,0.8553650031664999
China: CPI: Transport and Communications: YoY,2.971683940688308,3.1484172243039716
China: CPI: Services: YoY,1.5413946810149355,1.3537909915063755
China: Manufacturing PMI: Employees,0.05163996847477392,0.16771653346576434
China:Treasury Bond Yield to Maturity Curve: 10Y,-42034.894171089414,-26472.709522149107
China: Central Bank Policy Rates,1.0013368986074056,0.9671811404830898
China: PPI: YoY,-1.3406802468198293,-1.2336656199482896
China: PPI: Consumer Goods: YoY,1.258815930563287,2.240331185191149
Global: Spot Price: Crude Oil (UK Brent Dtd),1.4503148869735014,1.058105692363576
CSI 300 Index,-15.217484914461238,-1.666792524059683
China: CPI: YoY,-1.1657303054489603,-0.3327834472656637
China: Exports: YoY,-0.24110893521719845,-1.0332295645949592
China: Manufacturing PMI,0.6500770797792939,1.2071637415604497
China: Manufacturing PMI: New Orders,-0.8116190696418926,-1.42271690889883
China:Yield To Maturity of T-Bond: 1Y,57043.43397289382,32814.238800944964
China: CPI: Consumer Goods: YoY.1,0.5241864423114748,0.13393727453881452
China: CPI: Clothing: YoY.1,1.1034987687307876,1.6345670194565383
China: CPI: Health Care: YoY.1,16287.896341091284,25483.983891462096
China: CPI: Residence: YoY.1,2.3114919189174543,2.3117232299009896
China: Manufacturing PMI.1,0.6482442181295482,1.203760200355071
China: PPI: YoY.1,-1.3469943674681417,-1.2394757402765875
China: Manufacturing PMI: New Orders.1,-0.8096434638100618,-1.4192537967918701
China: Exports: YoY.1,-0.24107373739389004,-1.0330787305252012
China: CPI: YoY.1,-1.1656203805068799,-0.3327520667645429
China: PPI: Consumer Goods: YoY.1,1.2619523330431548,2.2459130817301522
China: Manufacturing PMI: Employees.1,0.05044249404090806,0.16382737034766676
China: CPI: Non-food: YoY.1,-5.398291838524528,-3.2656514892198656
China: CPI: Transport and Communications: YoY.1,2.972113007301232,3.148871808565622
China: CPI: Services: YoY.1,1.5395331954441644,1.3521560680003835
China: CPI: Food: YoY.1,0.689196036730209,0.45319359502600126
"China: CPI: Education, Culture and Recreation: YoY.1",0.2824346568158944,0.8567598478640404
CFETS: Spot Exchange Rate: CAD/CNY,-0.3332679195300443,-0.9035126928493861
CFETS: Spot Exchange Rate: 100 JPY/CNY,-0.9795694970307522,-0.9779317895623231
China:Yield To Maturity of T-Bond: 6M,1.7067739259437076,0.6047011429514851
China:Yield To Maturity of T-Bond: 5Y,1.6694413217737747,1.222604849684215
